year,month,jenis,kode_trayek,trayek,jumlah_penumpang,halte_awal,halte_tujuan,latitude_awal,longitude_awal,latitude_tujuan,longitude_tujuan
2021,3,BRT,7,Kampung Rambutan - Kampung Melayu,453819,Kampung Rambutan,Kampung Melayu,106.882155,-6.309885,106.866821,-6.224673
2021,3,BRT,6,Ragunan - Dukuh Atas 2,405083,Ragunan,Dukuh Atas 2,106.819485,-6.305769,-6.2043967,106.8234017
2021,3,BRT,5,Kampung Melayu - Ancol,494769,Kampung Melayu,Ancol,106.866821,-6.224673,106.830391,-6.127563
2021,3,BRT,4,Pulo Gadung 2 - Tosari,277604,Pulo Gadung 2,Tosari,-6.1756863,106.8778562,106.823092,-6.196892
2021,3,BRT,3,Kalideres - Pasar Baru,534617,Kalideres,Pasar Baru,106.705503,-6.154412,106.834834,-6.166129
2021,3,BRT,2,Pulo Gadung 1 - Harmoni,412664,Pulo Gadung 1,Harmoni,-6.2091654,106.897783,106.81992,-6.162687
2021,3,BRT,13,Ciledug - Tendean,334450,Ciledug,Tendean,-6.22,106.75,-6.229,106.812
2021,3,BRT,12,Penjaringan - Sunter Bouleverd Barat,164012,Penjaringan,Sunter Bouleverd Barat,106.792026,-6.126306,-6.14281,106.89075
2021,3,BRT,11,Pulo Gebang - Kampung Melayu,166555,Pulo Gebang,Kampung Melayu,106.952651,-6.212697,106.866821,-6.224673
2021,3,BRT,10,Tanjung Priok - PGC 2,427032,Tanjung Priok,PGC 2,106.88214,-6.10959,-6.2624252,106.8664105
2021,3,BRT,1,Blok M - Kota,1013221,Blok M,Kota,106.801751,-6.243312,106.814904,-6.13679
2021,3,Angkutan Umum Integrasi,9H,Cipedak - Blok M,12674,Cipedak,Blok M,-6.3544097,106.8023899,106.801751,-6.243312
2021,3,Angkutan Umum Integrasi,9E,Kebayoran Lama - Jelambar,13245,Kebayoran Lama,Jelambar,106.777515,-6.23834,106.786505,-6.166548
